Title,Creator,Date,Date-Approximate,Description,Subjects,Source,Location,Lat-Long,Format-Original,Type,Language,Identifier,Rights,Filename,imagelink,thumblink
"Hecla Mine, Burke ",T.N. Barnard,1909,y,View up canyon at Hecla Mine,mine (buildings); silver mines; canyons;,"8-B480-8-B489, Barnard Stockbridge Collection, University of Idaho Library","Burke, Idaho, United States","47.519908,-115.823171",Photographic Print,image; stillimage,eng,cdil-bs01,Public Domain,cdil-bs01.jpg,https://uidaholib.github.io/cdil-coll/images/cdil-bs01.jpg,https://uidaholib.github.io/cdil-coll/images/cdil-bs01_sm.jpg
"Morrow Retail Store, Wallace",??,1930,y,Store display window,retail stores; advertisements; bathing suits;,"Box 8-X851 to 8-X875, Barnard Stockbridge Collection, University of Idaho Library","Wallace, Idaho, United States","47.472385,-115.926844",Photographic Print,image; stillimage,eng,cdil-bs11,Public Domain,cdil-bs11.jpg,https://uidaholib.github.io/cdil-coll/images/cdil-bs11.jpg,https://uidaholib.github.io/cdil-coll/images/cdil-bs11_sm.jpg
"Golconda Mine, Wallace",Barnard's Studio,1927,y,Group of men and lumber,lumber; men; labor; ,"Box 8-X851 to 8-X875, Barnard Stockbridge Collection, University of Idaho Library","Wallace, Idaho, United States","47.486931,-115.900816",Photographic Print,image; stillimage,eng,cdil-bs12,Public Domain,cdil-bs12.jpg,https://uidaholib.github.io/cdil-coll/images/cdil-bs12.jpg,https://uidaholib.github.io/cdil-coll/images/cdil-bs12_sm.jpg
"Wallace, Idaho Bird's-eye view",??,1927,y,bird's-eye view of Wallace looking east,towns; mountains,"Box 8-X851 to 8-X875, Barnard Stockbridge Collection, University of Idaho Library","Wallace, Idaho, United States","47.472385,-115.926844",Photographic Print,image; stillimage,eng,cdil-bs13,Public Domain,cdil-bs13.jpg,https://uidaholib.github.io/cdil-coll/images/cdil-bs13.jpg,https://uidaholib.github.io/cdil-coll/images/cdil-bs13_sm.jpg
Manual Training,T.N. Barnard,1909,,training ,"work benches, ",8-B480-8-B489,,"47.471731, -115.925669",Photographic Print,image,eng,cdil-bs08,Public Domain,cdil-bs08.jpg,https://uidaholib.github.io/cdil-coll/images/cdil-bs08.jpg,https://uidaholib.github.io/cdil-coll/images/cdil-bs08_sm.jpg
"Morning Mill, Mullan",T.N. Barnard,1905,y,Mill ,mills (buildings),8-B480-8-B489,"Mullan, ID","47.495166, -115.822999",Photographic Print,"image, still image",eng,cdil-bs09,Public Domain,cdil-bs09.jpg,https://uidaholib.github.io/cdil-coll/images/cdil-bs09.jpg,https://uidaholib.github.io/cdil-coll/images/cdil-bs09_sm.jpg
"Morning Mill, Mullan",T.N. Barnard,1907,,Mill ,mills (buildings),8-B480-8-B489,"Mullan, ID","47.495166, -115.822999",Photographic Print,"image, still image",eng,cdil-bs10,Public Domain,cdil-bs10.jpg,https://uidaholib.github.io/cdil-coll/images/cdil-bs10.jpg,https://uidaholib.github.io/cdil-coll/images/cdil-bs10_sm.jpg
Jack Ass Prairie,Barnard-Stockbridge,1898,y,"Jack Ass Prairie, Milo Gulch","Tents, wagons, horses",8-X680-X708,"Kellogg, Idaho, United States","47.527708, -116.129338",Photographic Print,Image,eng,cdil-bs05,Public Domain,cdil-bs05.jpg,https://uidaholib.github.io/cdil-coll/images/cdil-bs05.jpg,https://uidaholib.github.io/cdil-coll/images/cdil-bs05_sm.jpg
Wallace Fire Dept.,Barnard-Stockbridge,1907,n,"Wallace, Idaho Fire Dept.","Fire Department, horses, wagons, people",,"Wallace, Idaho, United States","47.472456,-115.922248",Photographic Print,Image,eng,cdil-bs06,Public Domain,cdil-bs06.jpg,https://uidaholib.github.io/cdil-coll/images/cdil-bs06.jpg,https://uidaholib.github.io/cdil-coll/images/cdil-bs06_sm.jpg
Silver Cliff Mine,Barnard-Stockbridge,1923,n,Near Silver Cliff Mine Above Pottsville,,"Sheriff if Rene Edward Weniger, man of left is Charlie Bloom, distilling booze",,	47.462326-116.694533,Photographic Print,Image,eng,cdil-bs07,Public Domain,cdil-bs07.jpg,https://uidaholib.github.io/cdil-coll/images/cdil-bs07.jpg,https://uidaholib.github.io/cdil-coll/images/cdil-bs07_sm.jpg
"Northern Pacific Railroad, Wallace, Idaho",,1905,y,Wreck of N.P. Train in Wallace,"train wrecks; railroad station; Wallace, Idaho",8-25 to 8-17673,"Wallace, ID","47.473562,-115.923761",photographic print,image; stillimage,eng,cdil-bs02,Public Domain,cdil-bs02.jpg,https://uidaholib.github.io/cdil-coll/images/cdil-bs02.jpg,https://uidaholib.github.io/cdil-coll/images/cdil-bs02_sm.jpg
Dog ,Nellie Stockbridge,1920,,Comic Pose of dog wearing eyeglasses and holding pipe in mouth; taken for Ernest R. Denny,animal portraits; Canis familiaris,8-25 to 8-17674,"Wallace, ID","47.472197, -115.923846",photographic print,image; stillimage,eng,cdil-bs03,Public Domain,cdil-bs03.jpg,https://uidaholib.github.io/cdil-coll/images/cdil-bs03.jpg,https://uidaholib.github.io/cdil-coll/images/cdil-bs03_sm.jpg
"Brayton, H. L. -Woman in casket",Nellie Stockbridge,1924,,woman in casket,coffins; corpses (bodies),8-25 to 8-17675,"Wallace, ID","47.472113, -115.923909",photographic print,image; stillimage,eng,cdil-bs04,Public Domain,cdil-bs04.jpg,https://uidaholib.github.io/cdil-coll/images/cdil-bs04.jpg,https://uidaholib.github.io/cdil-coll/images/cdil-bs04_sm.jpg